model,feature,importance
Ridge Regression,B15003_020E,0.03286949201420134
Ridge Regression,B17001_026E,0.03280292492126817
Ridge Regression,B17001_051E,0.0324890590269497
Ridge Regression,B01001_044E,0.031233934474580997
Ridge Regression,B01001_031E,0.030952949442960346
Ridge Regression,B01001_004E,0.030616628123658226
Ridge Regression,B17001_012E,0.030361914923583335
Ridge Regression,B17001_020E,0.028862987601658143
Ridge Regression,B17001_024E,0.027918186946629182
Ridge Regression,B17001_021E,0.027546192682885582
Ridge Regression,B17001_011E,0.02713803789200701
Ridge Regression,B01001_023E,0.026040958804342082
Ridge Regression,B01001_007E,0.025842741289301013
Ridge Regression,B15003_009E,0.02468947565126858
Ridge Regression,B01001_014E,0.02458319759436572
Ridge Regression,B17001_025E,0.023848186469400217
Ridge Regression,B01001_006E,0.02359338255738583
Ridge Regression,B17001_050E,0.023502164033203057
Ridge Regression,B17001_031E,0.023489492209916207
Ridge Regression,B17001_022E,0.023431248791116265
Ridge Regression,B01001_045E,0.022778612959705277
Ridge Regression,masters_degree,0.022248573138085207
Ridge Regression,B15003_023E,0.022248573138027118
Ridge Regression,B17001_018E,0.02183860154792597
Ridge Regression,B17001_001E,0.020750487818920336
Ridge Regression,B01001_049E,0.020702143566336734
Ridge Regression,black_pct,0.02009669674427873
Ridge Regression,B17001_028E,0.019945167709215915
Ridge Regression,B01001_009E,0.01896367820263317
Ridge Regression,B15003_006E,0.018832340358834545
Ridge Regression,B17001_058E,0.017923103266632986
Ridge Regression,B15003_015E,0.017287383162563605
Ridge Regression,B01001_030E,0.017135283035192943
Ridge Regression,B01001_013E,0.01707920473752836
Ridge Regression,B15003_013E,0.016991664268841206
Ridge Regression,B01001_022E,0.016836803690261366
Ridge Regression,B17001_016E,0.015736068945242234
Ridge Regression,B15003_004E,0.015676649824922558
Ridge Regression,B01001_046E,0.015283941696950819
Ridge Regression,B17001_027E,0.015004483894613266
Ridge Regression,poverty_rate,0.014450380805143877
Ridge Regression,B01001_003E,0.01409758129178931
Ridge Regression,B15003_024E,0.01357944087808643
Ridge Regression,professional_degree,0.01357944087760648
Ridge Regression,B17001_052E,0.013362932726201987
Ridge Regression,B02001_007E,0.013287888424281587
Ridge Regression,B01001_002E,0.012950892505091339
Ridge Regression,B17001_046E,0.012566168226470114
Ridge Regression,B17001_019E,0.011910434982374506
Ridge Regression,B02001_008E,0.011868704170546467
Ridge Regression,B01001_024E,0.011865559377374692
Ridge Regression,B01001_018E,0.011497524597705843
Ridge Regression,B15003_012E,0.011334780463027876
Ridge Regression,B02001_010E,0.011111542329739973
Ridge Regression,B23025_006E,0.01026671085254204
Ridge Regression,B01001_033E,0.010181282490856206
Ridge Regression,B17001_047E,0.009913996041140351
Ridge Regression,B17001_006E,0.009318368146894527
Ridge Regression,B15003_007E,0.009178380468402499
Ridge Regression,B17001_010E,0.008564445300067997
Ridge Regression,unemployment_rate,0.008557617991468723
Ridge Regression,B17001_044E,0.008541344399671861
Ridge Regression,B17001_023E,0.008277825862737915
Ridge Regression,B17001_037E,0.008142516594319584
Ridge Regression,B01001_020E,0.007365914280534583
Ridge Regression,B15003_002E,0.007323641800864639
Ridge Regression,B17001_057E,0.007161148352519321
Ridge Regression,B01001_027E,0.006969713842236642
Ridge Regression,B17001_017E,0.0068487752772796555
Ridge Regression,unemployed,0.006623133473354638
Ridge Regression,B23025_005E,0.006623133473354576
Ridge Regression,B17001_030E,0.0061974024144207445
Ridge Regression,B01001_026E,0.006183962321634845
Ridge Regression,asian_pct,0.006175709416071054
Ridge Regression,B01001_012E,0.006097016418932603
Ridge Regression,B15003_005E,0.005928760615831856
