county_fips,state,county_name,party_winner,dem_vote_share,kmeans_cluster,agglomerative_cluster,pca_1,pca_2
21017,KENTUCKY,BOURBON,0,0.3418023436689826,0,2,-0.23084916924371218,0.7170568756644412
21019,KENTUCKY,BOYD,0,0.3257899820615427,0,2,-0.42830305502667887,0.36881274363269867
21021,KENTUCKY,BOYLE,0,0.3662127600746526,0,2,-0.01237502038539807,0.16411784649110345
21023,KENTUCKY,BRACKEN,0,0.1885014137606032,0,2,-0.45514653078023803,1.2703696254842096
21025,KENTUCKY,BREATHITT,0,0.2298180533474651,2,2,-2.961224598024293,0.9198547707708309
21027,KENTUCKY,BRECKINRIDGE,0,0.2304599391978032,0,2,-1.06176415418601,0.8946655918296469
21029,KENTUCKY,BULLITT,0,0.2514297969688304,0,2,0.8813906367853811,0.5367097339986493
21031,KENTUCKY,BUTLER,0,0.17624959163672,0,2,-0.9902604718468869,1.1936703477997315
21033,KENTUCKY,CALDWELL,0,0.2229309271935283,0,2,-0.9165394841400406,0.9094316176057773
21035,KENTUCKY,CALLOWAY,0,0.3321676317147279,0,2,-0.10210228903496758,0.4018242410922728
21037,KENTUCKY,CAMPBELL,0,0.3967194315319558,1,0,1.6040710984736197,-0.18212186630682678
21039,KENTUCKY,CARLISLE,0,0.1755117513267627,0,2,-0.9621891172625342,1.6788337202152772
21041,KENTUCKY,CARROLL,0,0.2698911729141475,2,2,-2.623149712463607,0.8619328834216582
21043,KENTUCKY,CARTER,0,0.2280535174794993,0,2,-1.401429125572298,1.2554916038084862
21045,KENTUCKY,CASEY,0,0.1280156184632547,0,2,-2.370867437663573,1.1429333482278994
21047,KENTUCKY,CHRISTIAN,0,0.347651175459917,2,1,-1.2475130513966806,-0.7457747979749455
21049,KENTUCKY,CLARK,0,0.3312003530450132,0,2,0.019677506509871587,0.5179057991021596
21051,KENTUCKY,CLAY,0,0.1094861660079051,2,2,-3.48461425968307,0.7570647666578343
21053,KENTUCKY,CLINTON,0,0.1222627737226277,0,2,-1.8168615396414565,1.501981688629923
21055,KENTUCKY,CRITTENDEN,0,0.1723243752946723,0,2,-0.20929009094989084,1.8007827031217605
21057,KENTUCKY,CUMBERLAND,0,0.1535207011181626,0,2,-1.3436378129002267,1.5033809907428686
21059,KENTUCKY,DAVIESS,0,0.3509951259138911,0,2,0.42643180720118745,-0.07389366270290004
21061,KENTUCKY,EDMONSON,0,0.2001304844234219,0,2,-1.4229193348940907,1.1660782869977178
21063,KENTUCKY,ELLIOTT,0,0.2377295492487479,0,2,-1.2511077941602442,2.0202944366347917
21065,KENTUCKY,ESTILL,0,0.2072499235240134,2,2,-2.668116201148122,1.0490794352561743
21067,KENTUCKY,FAYETTE,1,0.5932374364617723,1,0,1.1123528665967553,-2.1798718445172396
21069,KENTUCKY,FLEMING,0,0.2086045853382394,0,2,-1.365265187772785,0.9479481203217998
21071,KENTUCKY,FLOYD,0,0.2375389884410739,2,2,-2.4881680788965355,0.7277491787167618
21073,KENTUCKY,FRANKLIN,0,0.4854368932038835,0,2,0.7457361491943704,-0.5066199014404276
21075,KENTUCKY,FULTON,0,0.3267244940107394,2,1,-2.8398540271285366,0.3045014227060463
21077,KENTUCKY,GALLATIN,0,0.2135619641465315,0,2,-0.7582025234894192,1.3117361730965642
21079,KENTUCKY,GARRARD,0,0.2102723198896932,0,2,0.16710891732764593,0.9798368752021338
21081,KENTUCKY,GRANT,0,0.1985413290113452,0,2,-0.042504298395572106,1.1173947071453543
21083,KENTUCKY,GRAVES,0,0.2091315078152544,0,2,-0.8891443715891716,0.6292042215155375
21085,KENTUCKY,GRAYSON,0,0.2002837352916631,0,2,-1.3598218917767684,1.3666325325805448
21087,KENTUCKY,GREEN,0,0.1582931865106676,0,2,-1.6813082411689346,1.5676554942639114
21089,KENTUCKY,GREENUP,0,0.2681007922535211,0,2,-0.20508821154655113,0.8786973510615047
21091,KENTUCKY,HANCOCK,0,0.2945280139524744,0,2,-0.21713946977944354,1.3638974676269457
21093,KENTUCKY,HARDIN,0,0.3698534970678981,0,2,0.17035115746007604,-0.743982394757332
21095,KENTUCKY,HARLAN,0,0.1361771944216571,2,2,-3.7400305393230484,0.469287594736782
21097,KENTUCKY,HARRISON,0,0.2710945442222975,0,2,-0.2626307745243658,1.2550217588601118
21099,KENTUCKY,HART,0,0.2279842275062731,0,2,-1.3136672700850305,1.264632214179831
21101,KENTUCKY,HENDERSON,0,0.3692478731631864,0,2,-0.35923033818596056,0.47660946147108935
21103,KENTUCKY,HENRY,0,0.2642161095349697,0,2,-0.5721245220171498,1.110230860815614
21105,KENTUCKY,HICKMAN,0,0.2082764893133242,0,2,-1.173345092237707,0.8103391516115048
21107,KENTUCKY,HOPKINS,0,0.2528708912548235,0,2,-0.9517373434904981,0.35693873215091143
21109,KENTUCKY,JACKSON,0,0.0989694094552592,0,2,-2.5731187573737557,1.474940558291879
21111,KENTUCKY,JEFFERSON,1,0.5912772311334316,1,0,0.6817164827094746,-2.325470984061901
21113,KENTUCKY,JESSAMINE,0,0.3263494724010514,0,0,1.0434656591675298,-0.06453102467798834
21115,KENTUCKY,JOHNSON,0,0.1577708006279435,0,2,-1.5370448043431655,0.7481624567020182
21117,KENTUCKY,KENTON,0,0.3929580552443124,1,0,1.6365326724563438,-0.43505675976206504
21119,KENTUCKY,KNOTT,0,0.2258838585826267,2,2,-2.7249984815567228,0.8421463631207226
21121,KENTUCKY,KNOX,0,0.159270699917125,2,2,-2.4951377989263044,0.9624972304066953
21123,KENTUCKY,LARUE,0,0.2059991781947678,0,2,-0.0774120651809504,1.4167508528123365
21125,KENTUCKY,LAUREL,0,0.1592340819304552,0,2,-0.885882555773976,0.8721427507026017
21127,KENTUCKY,LAWRENCE,0,0.1780014378145219,0,2,-2.000395275981835,1.4088317688747458
21129,KENTUCKY,LEE,0,0.1726212861978187,2,2,-3.50775047367847,1.337427787231639
21131,KENTUCKY,LESLIE,0,0.092704219496986,0,2,-2.3366042342708413,1.518366506528789
21133,KENTUCKY,LETCHER,0,0.1969348659003831,2,2,-2.677414026143898,0.9691625302909819
21135,KENTUCKY,LEWIS,0,0.1398946115927248,0,2,-2.4886295421384266,1.5366350329131904
21137,KENTUCKY,LINCOLN,0,0.2065426555484285,0,2,-1.437130649881578,0.9437962372704924
21139,KENTUCKY,LIVINGSTON,0,0.1876873875674595,0,2,-0.2584387666318405,1.3916655419117054
21141,KENTUCKY,LOGAN,0,0.2506074842054107,0,2,-0.5180500552419354,0.7723997797361625
21143,KENTUCKY,LYON,0,0.2582781456953642,0,2,0.26624956378031395,1.3328154309195632
21145,KENTUCKY,MCCRACKEN,0,0.3338205900778616,0,2,0.12440199882812945,0.03873228329972628
